date,regime,previous_action,chosen_action,best_action,chosen_value,previous_value,best_value,chosen_minus_previous,best_minus_previous,switched,chose_best
2010-10-18,0,0.0,0.75,0.75,0.011677053781763,-0.0006693979165831,0.011677053781763,0.0123464516983461,0.0123464516983461,True,True
2010-10-19,0,0.75,0.5,0.5,-0.0027443551250039,-0.0043970359851008,-0.0027443551250039,0.0016526808600969,0.0016526808600969,True,True
2010-10-20,0,0.5,0.5,0.5,0.0068536461640453,0.0068536461640453,0.0068536461640453,0.0,0.0,False,True
2010-10-21,0,0.5,0.75,0.75,0.0032919175105812,-0.0006061285517852,0.0032919175105812,0.0038980460623664,0.0038980460623664,True,True
2010-10-22,0,0.75,1.0,1.0,0.0092644239386161,0.003786804616562,0.0092644239386161,0.0054776193220541,0.0054776193220541,True,True
2010-10-25,0,1.0,0.75,0.75,0.0048742038172256,-0.0054637604512341,0.0048742038172256,0.0103379642684597,0.0103379642684597,True,True
2010-10-26,0,0.75,0.75,0.75,0.0067450291645135,0.0067450291645135,0.0067450291645135,0.0,0.0,False,True
2010-10-27,0,0.75,0.5,0.5,1.1500863478422825e-06,-0.0101298771786658,1.1500863478422825e-06,0.010131027265013642,0.010131027265013642,True,True
2010-10-28,0,0.5,1.0,1.0,0.0129252529338343,0.0050087150429924,0.0129252529338343,0.0079165378908419,0.0079165378908419,True,True
2010-10-29,0,1.0,1.0,1.0,0.0038710694382181,0.0038710694382181,0.0038710694382181,0.0,0.0,False,True
2010-11-01,0,1.0,0.5,0.5,-0.0010223399870325,-0.0035863217789911,-0.0010223399870325,0.0025639817919586,0.0025639817919586,True,True
2010-11-02,0,0.5,1.0,1.0,0.0100678425841034,-0.0139149428173145,0.0100678425841034,0.0239827854014179,0.0239827854014179,True,True
2010-11-03,0,1.0,1.0,1.0,0.0038567581561341,0.0038567581561341,0.0038567581561341,0.0,0.0,False,True
2010-11-04,0,1.0,1.0,1.0,0.0074312963157172,0.0074312963157172,0.0074312963157172,0.0,0.0,False,True
