date,regime,prior_position,previous_position,chosen_position,value_0,value_25,value_50,value_75,value_100,visits_0,visits_25,visits_50,visits_75,visits_100
2010-10-18,0,1.0,0.0,0.0,0.004226800191457383,,-0.0003215620329329849,-0.0005217625484798512,0.004904404518619188,25,0,25,25,25
2010-10-19,0,1.0,0.0,1.0,-0.0008998169300961975,,0.0011254734598809485,-0.033158901135308574,0.006524763154972178,25,0,26,23,26
2010-10-20,0,1.0,1.0,0.75,,,0.007722698920575243,0.01374189596312436,0.006248332090475497,0,0,33,34,33
2010-10-21,0,1.0,0.75,1.0,,,0.003167116360736047,0.0027108389951170154,0.0084459520441502,0,0,33,33,34
2010-10-22,0,1.0,1.0,0.5,,,0.0015450501983803751,0.0012595371070868247,-0.0012982782330890382,0,0,34,33,33
2010-10-25,0,1.0,0.5,0.5,,,0.001100230623497847,-0.01144949436599371,-0.0024154004519305757,0,0,34,32,34
2010-10-26,0,1.0,0.5,1.0,,,0.0002422539769834481,0.0013900555114021767,0.009922364081594096,0,0,33,33,34
2010-10-27,0,1.0,1.0,0.75,,,0.004774887287078802,0.0135038207290608,-0.0027985551179558637,0,0,33,34,33
2010-10-28,0,1.0,0.75,0.5,,,0.004349586232327967,-0.0009106125449808999,0.0034003886572645265,0,0,34,33,33
2010-10-29,0,1.0,0.5,0.5,,,0.011542095828138511,-0.006000779663746534,-0.0036850255491069858,0,0,35,32,33
2010-11-01,0,1.0,0.5,1.0,,,0.005790385112538234,0.0008303035657133963,0.015152692152042,0,0,33,33,34
2010-11-02,0,1.0,1.0,1.0,,,0.0025708489741654104,-0.02061687191409168,0.00851455422289213,0,0,34,31,35
2010-11-03,0,1.0,1.0,1.0,,,0.0003392262556861892,0.0015564180421203725,0.016749873680450767,0,0,32,33,35
2010-11-04,0,1.0,1.0,0.75,,,-0.0022854242487557077,0.005892452738679412,-0.009011097193788304,0,0,33,34,33
2010-11-05,0,1.0,0.75,1.0,,,-0.002310993109525937,0.003045811565014545,0.008278996740409099,0,0,33,33,34
