date,regime,previous_action,chosen_action,best_action,chosen_value,previous_value,best_value,chosen_minus_previous,best_minus_previous,switched,chose_best
2010-10-18,0,4,4,2,-0.0006960673548238,-0.0006960673548238,-0.0001361713595607,0.0,0.0005598959952630999,False,False
2010-10-19,0,4,2,2,0.005826331187902,-0.0030769154385077,0.005826331187902,0.0089032466264097,0.0089032466264097,True,True
2010-10-20,0,2,1,1,0.0073981652874843,0.0043672459833572,0.0073981652874843,0.0030309193041271,0.0030309193041271,True,True
2010-10-21,0,1,3,3,0.008329543739351,0.0062195304868905,0.008329543739351,0.0021100132524605004,0.0021100132524605004,True,True
2010-10-22,0,3,3,3,0.0131231091128889,0.0131231091128889,0.0131231091128889,0.0,0.0,False,True
2010-10-25,0,3,3,3,0.0126586419297544,0.0126586419297544,0.0126586419297544,0.0,0.0,False,True
2010-10-26,0,3,0,0,0.0045784316212325,-0.0076317037353635,0.0045784316212325,0.012210135356596,0.012210135356596,True,True
2010-10-27,0,0,3,3,0.0006707922219345,-0.0012100781992232,0.0006707922219345,0.0018808704211577,0.0018808704211577,True,True
2010-10-28,0,3,1,1,0.0004555796781803,-0.0032579060202086,0.0004555796781803,0.0037134856983889,0.0037134856983889,True,True
2010-10-29,0,1,2,2,0.008598393787743,0.0019423008750284,0.008598393787743,0.006656092912714601,0.006656092912714601,True,True
2010-11-01,0,2,1,1,0.0011868084639402,-0.0056985071374566,0.0011868084639402,0.0068853156013968,0.0068853156013968,True,True
2010-11-02,0,1,3,3,0.0098163624102301,0.003071885785528,0.0098163624102301,0.0067444766247021,0.0067444766247021,True,True
2010-11-03,0,3,3,3,0.0012435941549258,0.0012435941549258,0.0012435941549258,0.0,0.0,False,True
2010-11-04,0,3,2,2,0.0026200230337625,-0.0025754221994561,0.0026200230337625,0.005195445233218601,0.005195445233218601,True,True
2010-11-05,0,2,2,2,0.0078954621322424,0.0078954621322424,0.0078954621322424,0.0,0.0,False,True
2010-11-08,0,2,2,2,0.0055240184791149,0.0055240184791149,0.0055240184791149,0.0,0.0,False,True
2010-11-09,0,2,3,3,0.0097304870982842,0.005881642019066,0.0097304870982842,0.0038488450792181998,0.0038488450792181998,True,True
2010-11-10,0,3,3,3,0.0079812910803319,0.0079812910803319,0.0079812910803319,0.0,0.0,False,True
2010-11-11,0,3,1,1,0.0132842672473009,-0.0015157686885583,0.0132842672473009,0.014800035935859199,0.014800035935859199,True,True
2010-11-12,0,1,3,3,0.0051446802900004,-0.0039746492445817,0.0051446802900004,0.0091193295345821,0.0091193295345821,True,True
2010-11-15,0,3,1,1,0.011978187254266,0.0101345119929174,0.011978187254266,0.0018436752613486002,0.0018436752613486002,True,True
2010-11-16,2,1,0,0,0.0056206976150591,5.570713734329137e-06,0.0056206976150591,0.005615126901324771,0.005615126901324771,True,True
2010-11-17,2,0,4,4,0.0020559603718394,-0.000658499896226,0.0020559603718394,0.0027144602680654,0.0027144602680654,True,True
2010-11-18,0,4,3,3,0.0074729311964312,-0.003024912055533,0.0074729311964312,0.0104978432519642,0.0104978432519642,True,True
2010-11-19,0,3,0,0,0.0066790435751908,0.0028485233327941,0.0066790435751908,0.0038305202423967004,0.0038305202423967004,True,True
2010-11-22,0,0,1,1,0.0064015508028588,0.0019392163370218,0.0064015508028588,0.004462334465837,0.004462334465837,True,True
2010-11-23,0,1,1,1,0.0084745870138152,0.0084745870138152,0.0084745870138152,0.0,0.0,False,True
2010-11-24,0,1,0,0,0.0064536546275092,0.0016312489813181,0.0064536546275092,0.0048224056461911,0.0048224056461911,True,True
2010-11-26,0,0,3,3,0.0092445062907947,0.0032134730529463,0.0092445062907947,0.006031033237848401,0.006031033237848401,True,True
