date,regime,previous_template,chosen_template,value_template_0,value_template_1,value_template_2,value_template_3,value_template_4,visits_template_0,visits_template_1,visits_template_2,visits_template_3,visits_template_4
2010-10-18,0,4,4,-0.0024031266902757777,-0.000603518312460991,-0.00013617135956077225,-0.012129907872252705,-0.0006960673548238261,20,20,20,20,20
2010-10-19,0,4,2,-0.008862616786473392,-0.007647526256287557,0.005826331187902061,-0.003826128806399687,-0.0030769154385077474,20,20,20,20,20
2010-10-20,0,2,1,-0.012910829053318897,0.007398165287484379,0.004367245983357236,0.006925824812439925,1.997982740820775e-06,19,21,20,20,20
2010-10-21,0,1,3,-0.009683157292610142,0.006219530486890511,-0.014286127929073723,0.008329543739351023,0.0022128316542479555,20,20,19,21,20
2010-10-22,0,3,3,-0.004389902927139403,0.0013791987087940312,0.003622623049507524,0.013123109112888925,0.002193650046682647,20,20,20,20,20
2010-10-25,0,3,3,0.0029750699068978774,0.0005282828436647593,0.0019228713617047547,0.012658641929754475,-0.002414447922913353,20,20,20,20,20
2010-10-26,0,3,0,0.004578431621232511,-0.004251939358954038,-0.0009865819649756725,-0.00763170373536351,-0.0012385539003474514,20,20,20,20,20
2010-10-27,0,0,3,-0.0012100781992232814,-0.0006006932279741924,-0.010172986607266515,0.0006707922219345715,-0.0023135969301741792,20,20,20,20,20
2010-10-28,0,3,1,-0.010762783510393312,0.00045557967818033606,-0.016301729266280943,-0.003257906020208679,-0.004635164413088554,20,21,19,20,20
2010-10-29,0,1,2,-0.0013642468759008908,0.0019423008750284322,0.008598393787743085,0.003135408549436979,0.0011295878481409846,20,20,20,20,20
2010-11-01,0,2,1,0.0008854005939978969,0.0011868084639402557,-0.005698507137456635,-0.01526375863474935,-0.000229651576178701,21,20,20,19,20
2010-11-02,0,1,3,0.006044782781374751,0.0030718857855280067,-0.012151057324691001,0.00981636241023011,0.0026563132537199053,20,20,19,21,20
2010-11-03,0,3,3,-0.0012162280274642143,-0.0019419048817805734,-0.0045489304054556114,0.001243594154925845,-0.005774963972637007,20,20,20,20,20
2010-11-04,0,3,2,-0.009327185356849631,-0.0034277210939359926,0.002620023033762523,-0.002575422199456161,-0.00370126434986833,20,20,20,20,20
2010-11-05,0,2,2,0.006903369773371343,-0.006341329451760362,0.007895462132242476,0.007798252989202595,0.006222836509770828,20,20,20,20,20
2010-11-08,0,2,2,-0.015604243092470332,-0.018480538502416516,0.005524018479114928,-0.013009873424624493,0.0025110908597602705,19,19,21,20,21
2010-11-09,0,2,3,-0.012470798988948113,-0.0024587601462149203,0.005881642019066037,0.00973048709828429,0.003082485721129935,19,20,20,21,20
2010-11-10,0,3,3,-0.018192164873932708,-0.001675431469449977,0.001268142441907837,0.007981291080331998,-0.0031178041851824745,19,20,20,21,20
2010-11-11,0,3,1,-0.005547944158749016,0.01328426724730091,0.006642947906347722,-0.0015157686885583761,-0.0009856538529018834,19,21,20,20,20
2010-11-12,0,1,3,-0.016632059699343296,-0.003974649244581708,-0.009104588354197233,0.005144680290000447,0.0014005728279064445,19,20,20,21,20
2010-11-15,0,3,1,0.006836468942749601,0.011978187254266066,-0.0047459562042713255,0.01013451199291741,0.004616116922151884,20,20,20,20,20
2010-11-16,2,1,0,0.0056206976150591755,5.570713734329137e-06,0.0022651172104360628,-0.003942897401373348,0.005361391682226604,20,20,20,20,20
2010-11-17,2,0,4,-0.0006584998962260966,-0.00781020267767268,-0.0017587538684462312,-0.0006982357512230868,0.0020559603718394684,20,20,20,20,20
2010-11-18,0,4,3,-0.013556727537151977,-0.006103825340037472,-0.0008642668304596247,0.007472931196431276,-0.0030249120555330953,19,20,20,21,20
2010-11-19,0,3,0,0.006679043575190814,-0.002526439395579048,-0.002387008154136695,0.0028485233327941407,-0.002463341495063922,20,20,20,20,20
2010-11-22,0,0,1,0.0019392163370218515,0.006401550802858896,-0.0026578404638655105,-0.000847206476880777,-0.0023988542017530793,20,20,20,20,20
2010-11-23,0,1,1,0.0022789231196261046,0.008474587013815288,0.003032209027845462,0.005877555694081178,0.002801172254249164,20,20,20,20,20
2010-11-24,0,1,0,0.006453654627509268,0.0016312489813181176,-0.005402977049653904,-0.00012782602848908088,0.001818668021580898,20,20,20,20,20
2010-11-26,0,0,3,0.003213473052946393,0.007799752585318366,0.004213592832176886,0.009244506290794721,0.0016114131448394583,20,20,20,20,20
2010-11-29,0,3,1,0.002075155277028963,0.009209400875152943,0.00706110119210788,-0.0038200972910631265,0.0002880725466752164,20,20,20,20,20
2010-11-30,2,1,1,0.008781189278343995,0.012519930930422604,-0.011292847762593938,-0.0019181176788148325,0.006648651658680264,20,21,19,20,20
2010-12-01,0,1,3,-0.003536149016112809,0.005110342264014165,-0.005935192831609502,0.00796698646472888,-0.002755538279576098,20,20,20,20,20
2010-12-02,0,3,0,0.01271505565520906,0.011906155912609762,-0.0019176392898948313,-0.0005640920732510809,-0.0005014684916228587,20,20,20,20,20
2010-12-03,0,0,0,0.003541696923923742,0.0011338927971785533,-0.0069830472274549525,8.184510590966733e-05,0.00017917092261266694,20,20,20,20,20
2010-12-06,0,0,1,-0.0030712358391294632,0.00879824142986264,0.002561856987389054,-0.00423153874932016,-0.002873757363712554,20,20,20,20,20
2010-12-07,0,1,3,0.006696780138845846,-0.006759692001487138,0.007013558507544379,0.012332423712082853,-0.003738045063326592,20,19,20,21,20
2010-12-08,0,3,3,-0.002771886294552718,0.0033726303348107687,0.00016090045101030157,0.004143684290306848,-0.0020060221323320677,20,20,20,20,20
2010-12-09,0,3,4,0.001028157827989819,-0.00020805628598753682,-0.00012035341686009587,-0.005338312805566379,0.0030098330928788014,20,20,20,20,20
2010-12-10,0,4,4,-0.0012595316585986781,-0.020185747861721597,-0.005201372502030021,-0.002778310582560028,0.007586310402684532,20,19,20,20,21
2010-12-13,0,4,0,0.011151417128774533,-0.0013941544076653289,0.00895070133244638,0.0042814106143008466,0.0016503382273916705,20,20,20,20,20
2010-12-14,0,0,0,0.006393050024871699,0.006740611013329916,-0.0035400741503636606,-0.009465419578718602,-0.005117219963308614,20,20,20,20,20
2010-12-15,0,0,1,-0.0024037391857915434,0.017974754656756547,0.0031228458547697567,0.0005795202416764968,0.005846006966601756,19,21,20,20,20
2010-12-16,0,1,3,-0.006855851866718607,-0.0027101580024161166,-0.0028369884908647047,0.00047736237638281955,-0.0012607880097980635,20,20,20,20,20
2010-12-17,0,3,3,-0.013939517704754467,0.0070153328974702665,0.005703044278433649,0.007291994485494115,-0.00219331085692705,19,20,20,21,20
2010-12-20,0,3,2,0.0031405717037194017,-0.00548170325555773,0.007782683896696065,0.001837781890760983,-0.005808846645713889,20,20,20,20,20
2010-12-21,0,2,0,0.007863454633312976,0.0060652238530392085,-0.006122750416435724,0.004032715810715864,0.002184314926806179,20,20,20,20,20
2010-12-22,0,0,0,0.012973500514570403,0.005516441800567493,-0.0049240222282467185,-0.010967788877287986,-0.0015614090939143675,21,20,20,19,20
2010-12-23,0,0,1,0.003321254481445439,0.01170335901536182,-0.002271853487276804,-0.0038066775120298864,0.00018025445669766905,20,20,20,20,20
2010-12-27,0,1,1,0.005246707185929244,0.008163960688409005,0.0014672268198196857,-0.007998453405463306,0.004255121180609667,20,20,20,20,20
2010-12-28,0,1,3,-0.0020513446579244793,0.0005248645774184613,-0.0072697914330374196,0.018324982494180575,-0.0004927457650143123,20,20,19,21,20
2010-12-29,0,3,2,0.0003609873796543273,0.0016536088375191677,0.007240039174893335,-0.018236995130644352,0.0010854921430348311,20,20,21,19,20
2010-12-30,1,2,3,-0.0037966859971694045,0.0013213943649985345,-0.0016798058773799898,0.009048424564987166,-0.0007981997796064951,20,20,20,20,20
2010-12-31,1,3,3,0.0022507784583084404,0.0010420875094662506,0.006591097939503951,0.011405331527730293,0.0011718300890137669,20,20,20,20,20
2011-01-03,1,3,0,0.002319773648534677,0.0020429310742055766,-2.9897874065786934e-05,-0.0074527798794916346,0.0015224297461843307,20,20,20,20,20
2011-01-04,1,0,4,-0.010315272036587154,-0.0031730317630046844,-0.0024857195475235343,0.0035200646530025533,0.005269542757961956,20,20,20,20,20
2011-01-05,1,4,1,-0.0019148375081404132,0.006725025767087704,-0.007791666523227729,-0.0009067642844563028,0.0016502290933116353,20,20,20,20,20
2011-01-06,1,1,1,-0.0008064054292845409,0.0008570158625820099,-0.00273999622527468,-0.00301338262178059,0.0004803853934519312,20,20,20,20,20
2011-01-07,1,1,1,-0.0035113294941959633,-3.06885891721368e-05,-0.0014094777560831279,-0.003939620495701632,-0.007061300840702954,20,20,20,20,20
2011-01-10,1,1,0,0.0019175772013340648,-0.0027948757984088005,-0.0015086800914725419,-0.029004644153462617,-0.00016031512192648628,21,20,20,19,20
2011-01-11,1,0,3,0.006443749165183453,0.0028557506700288113,0.0026898495474986504,0.014968212229587339,-0.004516961025184725,20,20,20,21,19
2011-01-12,1,3,1,-0.007616998152857919,0.008562958925285786,-0.0119460826789625,0.0011577227794415889,-0.006810095116761697,20,21,19,20,20
2011-01-13,1,1,3,0.0038066786588215593,0.00401770190243267,-0.006342890353229574,0.00610288097283778,0.00035334017788889616,20,20,20,20,20
2011-01-14,1,3,2,-0.006211889300202373,-0.0029881858230951467,0.0007084964554234319,-0.0013480966170752225,-0.0009398854187087026,20,20,20,20,20
2011-01-18,1,2,0,0.008099592537812953,0.001626865513208552,-0.007242506967120328,0.00013785094071664801,-0.0007862546154775999,20,20,20,20,20
2011-01-19,1,0,0,0.005723776206384425,-0.002484519964452471,-0.007644977220599082,-0.001064907550600003,-0.004266682570598486,20,20,20,20,20
2011-01-20,1,0,1,-0.006797477047728645,0.0015763222420438461,-0.0036364000568881354,-0.007484082145772207,-0.0018788911072360665,20,20,20,20,20
2011-01-21,1,1,0,0.009226704893143525,0.000279434244049282,-0.006527761224092462,0.0005237692861841455,-0.002313736834237705,20,20,20,20,20
2011-01-24,1,0,1,-0.0037587184517315457,0.008685261120148002,0.0060147977469564165,-0.005554484780890252,5.8471690251205416e-06,20,20,20,20,20
2011-01-25,1,1,1,0.002653154709131706,0.00579712154192107,0.00019309990063951055,0.006203288471045966,0.0026469228979082654,20,20,20,20,20
2011-01-26,1,1,4,-0.003353768565218196,-0.011235033256625998,0.0005898453739759559,-0.00893662255836515,0.004268226294871429,20,20,20,20,20
2011-01-27,1,4,3,-0.0007088963504376567,0.004051339735569632,0.0036140670023452467,0.012585569289801887,-0.0023408253520551233,20,20,20,20,20
2011-01-28,2,3,3,-0.008428965386241077,-0.032259970847124154,-0.0051440785667444065,-0.0009872746480184223,-0.00022710031492869482,20,19,20,20,21
2011-01-31,1,3,3,-0.0011868755452248015,-0.011795329554274078,0.0013013424075760233,0.003246119366519118,0.0006764464332186406,20,20,20,20,20
2011-02-01,1,3,3,0.004298369725379508,-0.007149386004494729,-0.02080952957651246,0.005006348207334241,0.0021577306334793823,20,20,19,21,20
2011-02-02,1,3,2,-0.0014071512804323732,-0.00030197047419464604,0.008180091158159401,0.004027824090188641,0.0045083584897852805,20,20,20,20,20
2011-02-03,1,2,3,-0.010422831816837213,-0.0017566130215762956,-0.016426035472439735,0.003510840540730332,0.0006210695129140918,20,20,19,21,20
2011-02-04,1,3,1,-0.005278488922909422,0.004042838661534169,-0.0011230302752459269,-0.0022298937537570973,-0.0012000762844628973,20,20,20,20,20
2011-02-07,1,1,2,-0.013759195566113906,0.0009716209497233972,0.004671160180960615,-0.0003778284020615879,0.0018851897546217663,19,20,21,20,20
2011-02-08,1,2,3,-0.0006231660294202906,-0.005032036119301202,0.00018849158603918663,0.0013929275992130134,-0.0012214461050381205,20,20,20,20,20
2011-02-09,1,3,2,-0.004834252285950589,-0.012246357932462763,0.0018395982487992208,-0.021827354716075192,3.941567493041046e-05,20,20,21,19,20
2011-02-10,1,2,3,0.003091263110915188,-0.0002801990197316812,0.002941800306007555,0.008629929106012815,-0.0009703871951322752,20,20,20,20,20
2011-02-11,1,3,2,-0.009415851811405399,-0.0036714870422271647,0.008426253357458995,0.005315086000096907,0.0014167790402316214,20,20,20,20,20
2011-02-14,1,2,0,-0.0007144275272024798,-0.004216614928273931,-0.0039470924652829685,-0.0038465089174435133,-0.002610777215957681,20,20,20,20,20
2011-02-15,1,0,4,-0.003459951602979286,-0.0011439787685074707,-0.011868083715928828,-0.0008975306928931867,0.00018593889891092057,20,20,20,20,20
2011-02-16,1,4,4,-0.0025934922327688716,-0.004526059434426013,-0.002516230680214313,0.0008087275587450409,0.0013742919075927268,20,20,20,20,20
2011-02-17,1,4,4,0.0009563039240552072,0.00021640675851107073,-0.0014609840803624864,-0.0015699336753189851,0.0003012449557633302,20,20,20,20,20
2011-02-18,1,4,3,-0.007188679170534106,-0.0056254031214646606,0.0033051537621939034,0.004451760478488614,0.0029299268079533832,20,20,20,20,20
2011-02-22,2,3,3,-0.0037810957134457044,-0.007931331690600556,0.005243499162223382,0.006445693271989983,0.006759456628483186,20,20,20,20,20
2011-02-23,2,3,2,0.0001409925496313683,-0.02126910700551895,0.00802754375459849,-0.004013350965793089,-0.005241976216851724,20,19,21,20,20
2011-02-24,2,2,3,-0.01237693817803639,0.00962068614174473,0.006200070521854236,0.010875423403034974,0.00014049073532407746,19,20,20,21,20
2011-02-25,2,3,1,-0.025941796781763813,0.01325382896278093,-0.005561149886083526,0.003552256844447506,-0.003839472070412085,19,21,20,20,20
2011-02-28,1,1,3,0.0039942109210167,0.006606668112997488,-0.003516513656180272,0.008001889545002628,0.0029049114221811477,20,20,20,20,20
