date,regime,previous_template,chosen_template,value_template_0,value_template_1,value_template_2,value_template_3,value_template_4,visits_template_0,visits_template_1,visits_template_2,visits_template_3,visits_template_4
2010-10-18,0,4,4,-0.0024032394505053094,-0.000603603964415446,-0.00013605494789037734,-0.01212950507680011,-0.0006961286824477964,20,20,20,20,20
2010-10-19,0,4,2,-0.008862945048009932,-0.007647688575224368,0.005826353920090765,-0.003826112726862891,-0.003076842646932803,20,20,20,20,20
2010-10-20,0,2,1,-0.012910662457980471,0.007398296393217258,0.004367142990544165,0.006926083737886164,1.988229910963261e-06,19,21,20,20,20
2010-10-21,0,1,3,-0.009682998810133165,0.006220154466745799,-0.014286328381224766,0.008329405934657532,0.002212785050246736,20,20,19,21,20
2010-10-22,0,3,3,-0.004389539431338541,0.0013787973572846196,0.0036228635019377293,0.013123259604323307,0.0021938375519978573,20,20,20,20,20
2010-10-25,0,3,3,0.002974624580781988,0.0005285201550321466,0.001923217947646624,0.012658672386220229,-0.0024145057179230348,20,20,20,20,20
2010-10-26,0,3,0,0.004578452397827065,-0.0042520059941843396,-0.0009864135990995885,-0.007631685337301438,-0.0012386003312648904,20,20,20,20,20
2010-10-27,0,0,3,-0.0012105895111480065,-0.0006007996046858041,-0.010172884433712021,0.0006709442797263962,-0.002313559660379598,20,20,20,20,20
2010-10-28,0,3,1,-0.010762826171775507,0.00045528717902813506,-0.01630158549821092,-0.0032578055596708456,-0.004635289779934596,20,21,19,20,20
2010-10-29,0,1,2,-0.0013644402908912878,0.0019423367644658737,0.008598274999975484,0.0031355510590637555,0.0011294279934580946,20,20,20,20,20
2010-11-01,0,2,1,0.0008853014217586307,0.0011869110073789175,-0.005698369354362303,-0.015263937006044693,-0.00022970234658528053,21,20,20,19,20
2010-11-02,0,1,3,0.006044786327975662,0.0030720579319437175,-0.01215189252976305,0.00981651176852332,0.0026563926766204893,20,20,19,21,20
2010-11-03,0,3,3,-0.001216387114742613,-0.0019422042360133737,-0.004549232487080061,0.0012434508073833857,-0.005774994260632037,20,20,20,20,20
2010-11-04,0,3,2,-0.009327051723809635,-0.0034278726894691066,0.002620221205032784,-0.0025752966254845096,-0.0037012737996520613,20,20,20,20,20
2010-11-05,0,2,2,0.006903797084330966,-0.006341569711426645,0.007895472824885931,0.00779830603288943,0.006222837640222682,20,20,20,20,20
2010-11-08,0,2,2,-0.015604554537077563,-0.01848055945768624,0.0055238395108281844,-0.013010099022987198,0.002511048918609237,19,19,21,20,21
2010-11-09,0,2,3,-0.012471126236748157,-0.0024585109885245145,0.005881771847757717,0.009730304253837129,0.0030825194610456007,19,20,20,21,20
2010-11-10,0,3,3,-0.01819196991104696,-0.0016751884415726031,0.00126849471381895,0.007981583970380372,-0.003117818891063212,19,20,20,21,20
2010-11-11,0,3,1,-0.005548830030489057,0.013284122010962704,0.006643031273809245,-0.0015157477532544755,-0.0009857190326459148,19,21,20,20,20
2010-11-12,0,1,3,-0.016631850323604484,-0.003974465171723372,-0.00910458291468604,0.005144492435324263,0.0014006630505175436,19,20,20,21,20
2010-11-15,0,3,1,0.006836699561541463,0.011978087505125416,-0.004745566012869297,0.01013427771421865,0.0046161092078379,20,20,20,20,20
2010-11-16,2,1,0,0.005620737924889935,5.668937284502955e-06,0.0022650518069087977,-0.003942657338808184,0.005361324281659828,20,20,20,20,20
2010-11-17,2,0,4,-0.0006583475227710218,-0.00781031378411727,-0.0017591276836502572,-0.0006983127798423454,0.002055977039580173,20,20,20,20,20
2010-11-18,0,4,3,-0.01355714674376264,-0.0061042190959242305,-0.0008643827780319271,0.007472680201100048,-0.0030248861604838186,19,20,20,21,20
2010-11-19,0,3,0,0.006679016553280057,-0.0025268405816592267,-0.0023873102889656788,0.0028486047874624423,-0.002463333253112019,20,20,20,20,20
2010-11-22,0,0,1,0.001939394958791616,0.0064016426145882665,-0.002657715479016369,-0.0008472353203295979,-0.002398722054249235,20,20,20,20,20
2010-11-23,0,1,1,0.0022788914982120063,0.008474555031521563,0.0030323431749061896,0.005877395059774715,0.0028012689899703388,20,20,20,20,20
2010-11-24,0,1,0,0.006453513953439208,0.0016310781956701097,-0.005402968565328703,-0.00012801464995254708,0.0018186450192730936,20,20,20,20,20
2010-11-26,0,0,3,0.003213283448804639,0.007799256771240234,0.004213916627530801,0.009244298896099939,0.0016114337662807635,20,20,20,20,20
2010-11-29,0,3,1,0.002075441912974567,0.009209490120009545,0.007060960586186051,-0.003819430342716997,0.00028801034085757817,20,20,20,20,20
2010-11-30,2,1,1,0.00878142951693031,0.012519648482906815,-0.011292950562893674,-0.0019184253203119235,0.006648631541873851,20,21,19,20,20
2010-12-01,0,1,3,-0.0035370200230164456,0.005110178504752754,-0.005935229087051781,0.007966958767428287,-0.0027555153719517537,20,20,20,20,20
2010-12-02,0,3,0,0.012714765422099946,0.011906187070759158,-0.0019176490058924144,-0.0005641742505240719,-0.0005015620572096967,20,20,20,20,20
2010-12-03,0,0,0,0.0035411609127725062,0.001133896165467513,-0.006982656886227241,8.203407023318343e-05,0.00017920195551442676,20,20,20,20,20
2010-12-06,0,0,1,-0.003071171028538144,0.008798431080903737,0.0025620382243157955,-0.004231839174426886,-0.002873716077291371,20,20,20,20,20
2010-12-07,0,1,3,0.006697383421143168,-0.006759698836471085,0.007013578148511723,0.012332272732845071,-0.003737905717590695,20,19,20,21,20
2010-12-08,0,3,3,-0.002772025137291175,0.003372489092594473,0.00016091258317531298,0.004143641484196429,-0.0020061080703279105,20,20,20,20,20
2010-12-09,0,3,4,0.0010281833493962452,-0.00020822619372503406,-0.00012053882845717342,-0.005338155229004489,0.0030097285067510774,20,20,20,20,20
2010-12-10,0,4,4,-0.001258827543889249,-0.02018575164268116,-0.00520136033414835,-0.002778330113592307,0.0075864206926069796,20,19,20,20,21
2010-12-13,0,4,0,0.011151423182360122,-0.0013941356840189716,0.008950659559122425,0.004281214109779411,0.001650541496065882,20,20,20,20,20
2010-12-14,0,0,0,0.006393277577471735,0.006740789346126086,-0.0035399151836690334,-0.009464442459206003,-0.005117298354347913,20,20,20,20,20
2010-12-15,0,0,1,-0.0024033793363260527,0.01797473931099749,0.0031229837854392065,0.0005798838736499725,0.0058457856851302946,19,21,20,20,20
2010-12-16,0,1,3,-0.006855692204144556,-0.0027102693421780255,-0.0028368984740227213,0.0004774044677520018,-0.0012609094358981983,20,20,20,20,20
2010-12-17,0,3,3,-0.013939449233707747,0.007015413908647791,0.005703233227387755,0.007292356541763944,-0.0021933382602722182,19,20,20,21,20
2010-12-20,0,3,2,0.0031404016130866562,-0.005481526513831264,0.007782835229778648,0.0018379135262121204,-0.0058088344643829806,20,20,20,20,20
2010-12-21,0,2,0,0.00786337316552652,0.006065118095591347,-0.006122617439691799,0.004032848929579419,0.0021843748285458415,20,20,20,20,20
2010-12-22,0,0,0,0.012973135147590943,0.005516360224621384,-0.004924077274371518,-0.010967561678185777,-0.0015614606730433161,21,20,20,19,20
2010-12-23,0,0,1,0.003321322722996523,0.011703537073265652,-0.00227187994214023,-0.003806527413960273,0.0001800960127453162,20,20,20,20,20
