date,regime,previous_action,chosen_action,best_action,chosen_value,previous_value,best_value,chosen_minus_previous,best_minus_previous,switched,chose_best
2010-10-18,0,4,4,0,0.0006674544975237,0.0006674544975237,0.0012582933787063,0.0,0.0005908388811826,False,False
2010-10-19,0,4,2,2,0.0075601699986834,0.0003786948200358,0.0075601699986834,0.0071814751786476,0.0071814751786476,True,True
2010-10-20,0,2,2,2,0.0083094535424192,0.0083094535424192,0.0083094535424192,0.0,0.0,False,True
2010-10-21,0,2,3,3,0.0075269731858789,-0.0090405709121763,0.0075269731858789,0.0165675440980552,0.0165675440980552,True,True
2010-10-22,0,3,3,3,0.0135484669932952,0.0135484669932952,0.0135484669932952,0.0,0.0,False,True
2010-10-25,0,3,3,0,0.0078779899248396,0.0078779899248396,0.0081136485010584,0.0,0.00023565857621880154,False,False
2010-10-26,0,3,0,0,0.0060265289460638,-0.0046095364819728,0.0060265289460638,0.0106360654280366,0.0106360654280366,True,True
2010-10-27,0,0,1,1,0.0035287880267769,-0.0001666367059544,0.0035287880267769,0.0036954247327313,0.0036954247327313,True,True
2010-10-28,0,1,1,1,0.0047234185159022,0.0047234185159022,0.0047234185159022,0.0,0.0,False,True
2010-10-29,0,1,2,2,0.0099067878214789,0.0028866889648977,0.0099067878214789,0.007020098856581201,0.007020098856581201,True,True
2010-11-01,0,2,1,1,0.0046297130160225,-0.0043172742452311,0.0046297130160225,0.008946987261253599,0.008946987261253599,True,True
2010-11-02,0,1,3,3,0.0095927166546293,0.0046397072411224,0.0095927166546293,0.0049530094135069,0.0049530094135069,True,True
2010-11-03,0,3,1,1,0.0015611818327114,0.0001199932306638,0.0015611818327114,0.0014411886020476,0.0014411886020476,True,True
2010-11-04,0,1,2,2,0.0028625359328514,0.0012203561764035,0.0028625359328514,0.0016421797564479,0.0016421797564479,True,True
2010-11-05,0,2,2,2,0.0105170524834822,0.0105170524834822,0.0105170524834822,0.0,0.0,False,True
2010-11-08,0,2,2,2,0.0044134442210285,0.0044134442210285,0.0044134442210285,0.0,0.0,False,True
2010-11-09,0,2,3,3,0.0115602006084219,0.0045148246831436,0.0115602006084219,0.0070453759252783,0.0070453759252783,True,True
2010-11-10,0,3,3,1,0.0020950329110873,0.0020950329110873,0.0030006362228284,0.0,0.0009056033117411,False,False
2010-11-11,0,3,1,1,0.0143100292034386,-0.0040577753035888,0.0143100292034386,0.0183678045070274,0.0183678045070274,True,True
2010-11-12,0,1,3,3,0.0056276084302057,-0.0044847643644942,0.0056276084302057,0.010112372794699901,0.010112372794699901,True,True
2010-11-15,0,3,3,3,0.0092325342640532,0.0092325342640532,0.0092325342640532,0.0,0.0,False,True
2010-11-16,2,3,2,2,0.0066206370862066,-0.0010708138458627,0.0066206370862066,0.007691450932069301,0.007691450932069301,True,True
2010-11-17,2,2,3,3,0.0037005743645953,1.5719046259381413e-05,0.0037005743645953,0.0036848553183359187,0.0036848553183359187,True,True
2010-11-18,0,3,3,3,0.0078690920366455,0.0078690920366455,0.0078690920366455,0.0,0.0,False,True
2010-11-19,0,3,4,4,0.0076292038519255,0.003897320545613,0.0076292038519255,0.0037318833063125,0.0037318833063125,True,True
2010-11-22,0,4,1,1,0.0074631670313263,0.0030535348349911,0.0074631670313263,0.0044096321963352,0.0044096321963352,True,True
2010-11-23,0,1,1,1,0.009604009265135,0.009604009265135,0.009604009265135,0.0,0.0,False,True
2010-11-24,0,1,4,4,0.0088503714288568,-0.001144317880928,0.0088503714288568,0.0099946893097848,0.0099946893097848,True,True
2010-11-26,0,4,3,3,0.01119205871932,0.0035188312204974,0.01119205871932,0.007673227498822601,0.007673227498822601,True,True
2010-11-29,0,3,2,2,0.0079254797534771,-0.0016430111810348,0.0079254797534771,0.009568490934511899,0.009568490934511899,True,True
2010-11-30,2,2,0,0,0.0221518266451964,-0.0080452211858668,0.0221518266451964,0.0301970478310632,0.0301970478310632,True,True
2010-12-01,0,0,1,1,0.0074525068229468,-0.0010226299605879,0.0074525068229468,0.0084751367835347,0.0084751367835347,True,True
2010-12-02,0,1,1,1,0.0139782040743636,0.0139782040743636,0.0139782040743636,0.0,0.0,False,True
2010-12-03,0,1,4,4,0.0043353656330487,0.0028260722584982,0.0043353656330487,0.0015092933745505,0.0015092933745505,True,True
2010-12-06,0,4,1,1,0.0100901298064115,0.00242598320931,0.0100901298064115,0.0076641465971015,0.0076641465971015,True,True
2010-12-07,0,1,3,3,0.0132662328591282,-0.0027423292538319,0.0132662328591282,0.0160085621129601,0.0160085621129601,True,True
2010-12-08,0,3,3,3,0.0060909704805921,0.0060909704805921,0.0060909704805921,0.0,0.0,False,True
2010-12-09,0,3,4,4,0.0051704993648687,-0.0033644331304392,0.0051704993648687,0.0085349324953079,0.0085349324953079,True,True
2010-12-10,0,4,4,4,0.0090524305050191,0.0090524305050191,0.0090524305050191,0.0,0.0,False,True
2010-12-13,0,4,0,0,0.0123473928949994,0.0017474511745743,0.0123473928949994,0.0105999417204251,0.0105999417204251,True,True
2010-12-14,0,0,0,0,0.0093621529544969,0.0093621529544969,0.0093621529544969,0.0,0.0,False,True
