date,regime,previous_template,chosen_template,value_template_0,value_template_1,value_template_2,value_template_3,value_template_4,visits_template_0,visits_template_1,visits_template_2,visits_template_3,visits_template_4
2010-10-18,0,4,4,0.001258293378706345,0.001140386986792604,0.00019227372102166538,-0.008581571798323664,0.0006674544975237961,20,20,20,20,20
2010-10-19,0,4,2,-0.005691809791938067,-0.003697337912997736,0.007560169998683447,-9.653283470405517e-05,0.0003786948200358565,20,20,20,20,20
2010-10-20,0,2,2,-0.010511502880934288,0.001478640057543113,0.008309453542419265,0.008021034109022484,0.007007218187596932,19,20,21,20,20
2010-10-21,0,2,3,0.0012942045543283226,0.006214765182204737,-0.009040570912176363,0.007526973185878946,-0.001216435788881485,20,20,20,20,20
2010-10-22,0,3,3,-0.001997564051047644,0.0023035177039935945,0.005360433645415859,0.013548466993295255,0.00301922933256748,20,20,20,20,20
2010-10-25,0,3,3,0.008113648501058456,0.004025641547086454,0.004901822907171565,0.007877989924839693,0.0012376691881971868,20,20,20,20,20
2010-10-26,0,3,0,0.0060265289460638746,-0.0029291813874437614,-0.001145749905306105,-0.004609536481972863,0.00016268602254104362,20,20,20,20,20
2010-10-27,0,0,1,-0.00016663670595446915,0.003528788026776962,-0.005398471938703487,0.0010861700674761718,-0.0005986275603112822,20,20,20,20,20
2010-10-28,0,1,1,-0.004467829745732041,0.004723418515902233,-0.012288428980623097,-0.0020201560806917818,-0.003945150447105436,20,20,20,20,20
2010-10-29,0,1,2,0.000985379576759581,0.002886688964897712,0.009906787821478965,0.004141959589109146,0.0029229706466992584,20,20,20,20,20
2010-11-01,0,2,1,0.0009063214329857596,0.004629713016022551,-0.004317274245231182,-0.009583121418502049,0.004377946423537199,20,20,20,20,20
2010-11-02,0,1,3,0.007279206461122465,0.00463970724112244,-0.007743425935003584,0.009592716654629303,0.004451492534704197,20,20,19,21,20
2010-11-03,0,3,1,-0.0013134377197541308,0.0015611818327114385,-0.0012332509884550268,0.00011999323066381497,-0.003501876989079116,20,20,20,20,20
2010-11-04,0,1,2,-0.0021526148543165946,0.0012203561764035139,0.00286253593285143,-0.0038879852992693537,-0.0008422819541190225,20,20,20,20,20
2010-11-05,0,2,2,0.006283914385715123,-0.0027487517667894347,0.010517052483482234,0.009617797067820616,0.005475124411920542,20,20,20,20,20
2010-11-08,0,2,2,-0.009609761336034797,-0.011640434459027602,0.004413444221028501,-0.009418471732413062,0.0017973718970931874,20,20,20,20,20
2010-11-09,0,2,3,-0.007834089584451186,-0.00015653240286775844,0.004514824683143643,0.011560200608421903,0.005468001494286608,19,20,20,21,20
2010-11-10,0,3,3,-0.012188305355069599,0.003000636222828414,0.0016678751116455607,0.0020950329110873077,-0.0012686302419084256,20,20,20,20,20
2010-11-11,0,3,1,0.0003227374739092054,0.014310029203438691,0.0058045496166612,-0.004057775303588813,4.889962151261268e-05,20,21,20,19,20
2010-11-12,0,1,3,-0.010014558429750072,-0.004484764364494214,-0.003094153746203606,0.005627608430205799,0.0003327497011592206,20,20,20,20,20
2010-11-15,0,3,3,0.007804826429136777,0.0026191763151549017,0.005021801247187187,0.00923253426405325,0.005940479217119206,20,20,20,20,20
2010-11-16,2,3,2,0.003310643806206149,0.005743954609704677,0.006620637086206624,-0.0010708138458627122,0.0029560192731217134,20,20,20,20,20
2010-11-17,2,2,3,0.0023155778520672055,-0.008287649934944555,1.5719046259381413e-05,0.0037005743645953737,0.00013770532019233799,20,20,20,20,20
2010-11-18,0,3,3,-0.00848081648302029,-0.004530805598636408,-0.002345964388527132,0.007869092036645568,-0.001610773522127723,20,20,20,20,20
2010-11-19,0,3,4,0.0014266340143295347,0.000369904960393727,0.0021071265276988984,0.0038973205456130527,0.007629203851925554,20,20,20,20,20
2010-11-22,0,4,1,0.0027592182616735746,0.007463167031326325,-0.003243721252820072,-0.0027645907255225187,0.0030535348349911245,20,20,20,20,20
2010-11-23,0,1,1,0.0058352186943905985,0.009604009265135095,0.002641361431198265,0.005293586586807901,0.004343397765620581,20,20,20,20,20
2010-11-24,0,1,4,0.004662960297241174,-0.0011443178809280874,-0.0020862590276109734,0.001476243234935307,0.008850371428856817,20,20,20,20,20
